code,city_id,state,lat,lon
612,Urb Zeno Gandia, PR,18.45,-66.73
612,Valle Escondido, PR,18.45,-66.73
612,Villa Los Santos, PR,18.45,-66.73
612,Villa Lucia, PR,18.45,-66.73
612,Villa Serena, PR,18.45,-66.73
612,Villa Toledo, PR,18.45,-66.73
612,Villas Del Capitan, PR,18.45,-66.73
612,Villas Del Sol, PR,18.45,-66.73
612,Vista Azul, PR,18.45,-66.73
612,Vista Del Atlantico, PR,18.45,-66.73
613,Arecibo, PR,18.45,-66.73
614,Arecibo, PR,18.45,-66.73
714,Arroyo, PR,17.97,-66.06
714,Ext Jard De Arroyo, PR,17.97,-66.06
714,Jard De Arroyo, PR,17.97,-66.06
714,Jard De Lafayette, PR,17.97,-66.06
714,Parq De Guasimas, PR,17.97,-66.06
714,Qtas De Guasima, PR,17.97,-66.06
714,Repto Bello Mar, PR,17.97,-66.06
714,Urb Arroyo Del Mar, PR,17.97,-66.06
714,Urb Belinda, PR,17.97,-66.06
714,Urb Las 500, PR,17.97,-66.06
714,Urb Miramar 1, PR,17.97,-66.06
714,Urb Palmar 2, PR,17.97,-66.06
714,Urb San Antonio, PR,17.97,-66.06
714,Villas De Lafayette, PR,17.97,-66.06
616,Bajadero, PR,18.40,-66.66
616,Brisas Del Valle, PR,18.40,-66.66
617,Barceloneta, PR,18.45,-66.53
617,Bda Catalana, PR,18.45,-66.53
617,Brisas De Llanadas, PR,18.45,-66.53
617,Brisas Del Monte, PR,18.45,-66.53
617,Est De Barceloneta, PR,18.45,-66.53
617,Est De Florida, PR,18.45,-66.53
617,Ext Est De Imbery, PR,18.45,-66.53
617,Ext Parc Punta Palmas, PR,18.45,-66.53
617,Parc Garrochales, PR,18.45,-66.53
617,Parc Imbery, PR,18.45,-66.53
617,Parc Magueyes, PR,18.45,-66.53
617,Parc Palenque, PR,18.45,-66.53
617,Parc Punta Palmas, PR,18.45,-66.53
617,Parc Tiburon, PR,18.45,-66.53
617,Repto Las Llanadas, PR,18.45,-66.53
617,Urb Cataluna, PR,18.45,-66.53
617,Urb Cimarrona Ct, PR,18.45,-66.53
617,Urb Las Delicias, PR,18.45,-66.53
617,Urb Las Praderas, PR,18.45,-66.53
617,Urb Ortega, PR,18.45,-66.53
617,Urb Plazuela Estates, PR,18.45,-66.53
617,Urb Sol Naciente, PR,18.45,-66.53
617,Villa Barcelona, PR,18.45,-66.53
617,Villa Central, PR,18.45,-66.53
617,Villa Georgetti, PR,18.45,-66.53
617,Villas De La Sabana, PR,18.45,-66.53
794,Barranquitas, PR,18.18,-66.30
794,Bda Alemania, PR,18.18,-66.30
794,Urb San Cristobal, PR,18.18,-66.30
794,Vistas De Montecielo, PR,18.18,-66.30
622,Boqueron, PR,17.99,-67.15
622,Villa Taina, PR,17.99,-67.15
623,Cabo Rojo, PR,18.08,-67.14
623,Alts De Joyuda, PR,18.08,-67.14
623,Alts Del Mar, PR,18.08,-67.14
623,Bo Ballaja, PR,18.08,-67.14
623,Bo Monte Grande, PR,18.08,-67.14
623,Est De Miramar, PR,18.08,-67.14
623,Est Reales, PR,18.08,-67.14
623,Ext Elizabeth, PR,18.08,-67.14
623,Ext La Concepcion, PR,18.08,-67.14
623,Ext Parc Elizabeth, PR,18.08,-67.14
623,Ext Sierra Linda, PR,18.08,-67.14
623,Haciendas De Belvedere, PR,18.08,-67.14
623,Haciendas De Cabo Rojo, PR,18.08,-67.14
623,Haciendas De Miramar, PR,18.08,-67.14
623,Jard Del Puerto, PR,18.08,-67.14
623,Mans De Cabo Rojo, PR,18.08,-67.14
623,Mansiones, PR,18.08,-67.14
623,Parc Betances, PR,18.08,-67.14
623,Parc Elizabeth, PR,18.08,-67.14
623,Parc Las Margaritas, PR,18.08,-67.14
623,Parc Las 35, PR,18.08,-67.14
623,Parc Puerto Real, PR,18.08,-67.14
623,Qtas De Cabo Rojo, PR,18.08,-67.14
623,Repto Miradero, PR,18.08,-67.14
623,Repto Oliveras, PR,18.08,-67.14
623,Urb Alta Vista, PR,18.08,-67.14
623,Urb Ana Maria, PR,18.08,-67.14
623,Urb Borinquen, PR,18.08,-67.14
