code,type,city_id,state,lat,lon
623,STANDARD,Repto Oliveras, PR,18.08,-67.14
623,STANDARD,Urb Alta Vista, PR,18.08,-67.14
623,STANDARD,Urb Ana Maria, PR,18.08,-67.14
623,STANDARD,Urb Borinquen, PR,18.08,-67.14
623,STANDARD,Urb El Retiro, PR,18.08,-67.14
623,STANDARD,Urb Elizabeth, PR,18.08,-67.14
623,STANDARD,Urb Kofresi, PR,18.08,-67.14
623,STANDARD,Urb La Concepcion, PR,18.08,-67.14
623,STANDARD,Urb Monte Grande, PR,18.08,-67.14
623,STANDARD,Urb Montesol, PR,18.08,-67.14
623,STANDARD,Urb Ramirez, PR,18.08,-67.14
623,STANDARD,Urb Remanso De Cabo Rojo, PR,18.08,-67.14
623,STANDARD,Urb San Miguel, PR,18.08,-67.14
623,STANDARD,Urb Sierra Linda, PR,18.08,-67.14
623,STANDARD,Villa Aida, PR,18.08,-67.14
623,STANDARD,Villa Del Carmen, PR,18.08,-67.14
623,STANDARD,Villa Luisa, PR,18.08,-67.14
623,STANDARD,Villas De Plan Bonito, PR,18.08,-67.14
725,STANDARD,Caguas, PR,18.23,-66.03
725,STANDARD,Alt De Caguas, PR,18.23,-66.03
725,STANDARD,Alt Del Turabo, PR,18.23,-66.03
725,STANDARD,Bda Morales, PR,18.23,-66.03
725,STANDARD,Bosques De La Sierra, PR,18.23,-66.03
725,STANDARD,Brisas Del Parque I, PR,18.23,-66.03
725,STANDARD,Brisas Del Parque Ii, PR,18.23,-66.03
725,STANDARD,Est El Verde, PR,18.23,-66.03
725,STANDARD,Ext Caguax, PR,18.23,-66.03
725,STANDARD,Ext El Verde, PR,18.23,-66.03
725,STANDARD,Ext La Granja, PR,18.23,-66.03
725,STANDARD,Ext Villa Blanca, PR,18.23,-66.03
725,STANDARD,Hacienda Borinquen, PR,18.23,-66.03
725,STANDARD,Jard Pla, PR,18.23,-66.03
725,STANDARD,Lomas De La Serrania, PR,18.23,-66.03
725,STANDARD,Parq Las Mercedes, PR,18.23,-66.03
725,STANDARD,Paseo Del Rio, PR,18.23,-66.03
725,STANDARD,Qtas De San Luis 1, PR,18.23,-66.03
725,STANDARD,Qtas De San Luis 2, PR,18.23,-66.03
725,STANDARD,Qtas De Villa Blanca, PR,18.23,-66.03
725,STANDARD,Repto Caguax, PR,18.23,-66.03
725,STANDARD,Repto Solano, PR,18.23,-66.03
725,STANDARD,Res Bairoa, PR,18.23,-66.03
725,STANDARD,Terr De Borinquen, PR,18.23,-66.03
725,STANDARD,Urb Balcones Las Catalinas, PR,18.23,-66.03
725,STANDARD,Urb Batista, PR,18.23,-66.03
725,STANDARD,Urb Billy Suarez, PR,18.23,-66.03
725,STANDARD,Urb Bonneville Gdns, PR,18.23,-66.03
725,STANDARD,Urb Bonneville Terr, PR,18.23,-66.03
725,STANDARD,Urb Borinquen Valley, PR,18.23,-66.03
725,STANDARD,Urb Brooklyn, PR,18.23,-66.03
725,STANDARD,Urb Bunker, PR,18.23,-66.03
725,STANDARD,Urb Caguas Milenio, PR,18.23,-66.03
725,STANDARD,Urb Caguas Norte, PR,18.23,-66.03
725,STANDARD,Urb Caribe Gdns, PR,18.23,-66.03
725,STANDARD,Urb Condado Moderno, PR,18.23,-66.03
725,STANDARD,Urb Condado Viejo, PR,18.23,-66.03
725,STANDARD,Urb El Retiro, PR,18.23,-66.03
725,STANDARD,Urb El Rincon De La Serrania, PR,18.23,-66.03
725,STANDARD,Urb El Verde, PR,18.23,-66.03
725,STANDARD,Urb Grillo, PR,18.23,-66.03
725,STANDARD,Urb Jose Delgado, PR,18.23,-66.03
725,STANDARD,Urb Jose Mercado, PR,18.23,-66.03
725,STANDARD,Urb La Granja, PR,18.23,-66.03
725,STANDARD,Urb La Meseta, PR,18.23,-66.03
725,STANDARD,Urb Machin, PR,18.23,-66.03
725,STANDARD,Urb Mariolga, PR,18.23,-66.03
725,STANDARD,Urb Monticielo, PR,18.23,-66.03
725,STANDARD,Urb Myrlena, PR,18.23,-66.03
725,STANDARD,Urb Nazario, PR,18.23,-66.03
725,STANDARD,Urb Notre Dame, PR,18.23,-66.03
725,STANDARD,Urb Paradise, PR,18.23,-66.03
725,STANDARD,Urb San Alfonso, PR,18.23,-66.03
725,STANDARD,Urb San Antonio, PR,18.23,-66.03
